text,intent,type,intents,segments
can you alert me to deliver tomorrow also write down milk and bread then John borrowed $120 for clothes,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","['alert me to deliver tomorrow', 'write down milk and bread', 'John owes $120 for clothes']"
make a note that research notes and Sarah will pay me $50,create_note,multi_intent,"['create_note', 'create_ledger']","['make a note that research notes', 'Sarah will pay me $50']"
would you can you add to my notes research notes and then cost $10 for gas,create_note,multi_intent,"['create_note', 'create_ledger']","['can you add to my notes research notes', 'cost $10 for gas']"
don't forget to deliver this evening additionally would you make a note that passwords as well as Ryan paid me $45,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","[""don't forget to deliver this evening"", 'would you make a note that passwords', 'Ryan paid me $45']"
remember to drive next month and document recipe ingredients and then expense of $75 for books,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","['remember to drive next month', 'document recipe ingredients', 'expense of $75 for books']"
record research notes and then can you remember to confirm tonight,create_note,multi_intent,"['create_note', 'create_reminder']","['record research notes', 'can you remember to confirm tonight']"
can you create a please note about book recommendations plus borrowed $150 from boss for coffee,create_note,multi_intent,"['create_note', 'create_ledger']","['create a please note about book recommendations', 'borrowed $150 from boss for coffee']"
could you spent $75 on books plus appointment to travel next week,create_ledger,multi_intent,"['create_ledger', 'create_reminder']","['could you spent $75 on books', 'appointment to travel next week']"
jot down phone numbers plus can you spent $30 on internet,create_note,multi_intent,"['create_note', 'create_ledger']","['jot down phone numbers', 'can you spent $30 on internet']"
would you please set important alarm to drink at 3:30 AM also spent $50 on gas,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","['would you please set important alarm to drink at 3:30 AM', 'spent $50 on gas']"
spent $15 on movie tickets besides reminder for schedule this morning,create_ledger,multi_intent,"['create_ledger', 'create_reminder']","['spent $15 on movie tickets', 'reminder for schedule this morning']"
could you paid $10 to client furthermore don't forget to pack on Monday,create_ledger,multi_intent,"['create_ledger', 'create_reminder']","['paid $10 to client', ""don't forget to pack on Monday""]"
appointment to shower on Monday and would you jot down contact information,create_reminder,multi_intent,"['create_reminder', 'create_note']","['appointment to shower on Monday', 'would you jot down contact information']"
remind important me about call today as well as note that groceries,create_reminder,multi_intent,"['create_reminder', 'create_note']","['remind me about call today', 'note that groceries']"
warn urgenter for prepare on Friday and then remember groceries and I lent $80 to client,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","['remind urgenter for prepare on Friday', 'remember groceries', 'I lent $80 to client']"
spent $200 on dinner then reminder for exercise this morning,create_ledger,multi_intent,"['create_ledger', 'create_reminder']","['spent $200 on dinner', 'reminder for exercise this morning']"
appointment to get this evening plus note to study,create_reminder,multi_intent,"['create_reminder', 'create_note']","['appointment to get this evening', 'note to study']"
would you please note that book recommendations and then don't forget to send at lunch time,create_note,multi_intent,"['create_note', 'create_reminder']","['note that book recommendations', ""don't forget to send at lunch time""]"
would you remember meeting agenda then expense of $200 for medicine,create_note,multi_intent,"['create_note', 'create_ledger']","['would you remember meeting agenda', 'expense of $200 for medicine']"
kindly set a reminder to collect in 30 minutes furthermore note that project ideas also Joe owes $150 for rent,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","['set a reminder to collect in 30 minutes', 'note that project ideas', 'Joe owes $150 for rent']"
would you alert me to visit later additionally can you spent $120 on lunch,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","['would you alert me to visit later', 'can you spent $120 on lunch']"
alert me about complete this evening also record contact information then borrowed $150 from mom for coffee,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","['remind me about complete this evening', 'record contact information', 'borrowed $150 from mom for coffee']"
could you Alice will pay me $45 besides remember to commute next week,create_ledger,multi_intent,"['create_ledger', 'create_reminder']","['Alice will pay me $45', 'remember to commute next week']"
could you please jot to fetch besides would you Amy should pay me $75,create_note,multi_intent,"['create_note', 'create_ledger']","['could you please note to fetch', 'would you Amy owes me $75']"
remember to give next month and then could you Amy owes me $30,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","['remember to give next month', 'could you Amy owes me $30']"
don't forget to confirm later besides create a kindly record about gift ideas besides Ana borrowed $200 from me,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","[""don't forget to confirm later"", 'create a note about gift ideas', 'Ana borrowed $200 from me']"
I lent $200 to Chris then set a reminder to modify at lunch time,create_ledger,multi_intent,"['create_ledger', 'create_reminder']","['I lent $200 to Chris', 'set a reminder to modify at lunch time']"
alert me to acquire at lunch time and then document websites additionally mom borrowed $30 from me,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","['alert me to buy at lunch time', 'document websites', 'mom borrowed $30 from me']"
notify important me about return in 30 minutes as well as make a save that addresses,create_reminder,multi_intent,"['create_reminder', 'create_note']","['remind important me about return in 30 minutes', 'make a note that addresses']"
could you remember to contact tonight and then note to wake up and then Emma borrowed $80 from me,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","['could you remember to contact tonight', 'note to wake up', 'Emma borrowed $80 from me']"
record shopping list also set important a remind urgenter to drink in an hour,create_note,multi_intent,"['create_note', 'create_reminder']","['record shopping list', 'set important a remind urgenter to drink in an hour']"
save recipe ingredients also doctor borrowed $30 for utilities,create_note,multi_intent,"['create_note', 'create_ledger']","['save recipe ingredients', 'doctor owes $30 for utilities']"
set a reminder to brush teeth tonight also spent $75 on internet,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","['set a reminder to brush teeth tonight', 'spent $75 on internet']"
would you would you schedule complete for 9:15 AM and then keep track of addresses,create_reminder,multi_intent,"['create_reminder', 'create_note']","['would you schedule complete for 9:15 AM', 'keep track of addresses']"
can you remind me to visit at 8 AM moreover add to my notes addresses and would you spent $50 on dinner,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","['can you remind me to visit at 8 AM', 'add to my notes addresses', 'would you spent $50 on dinner']"
don't forget to unpack on Friday and then remember passwords,create_reminder,multi_intent,"['create_reminder', 'create_note']","[""don't forget to unpack on Friday"", 'remember passwords']"
document phone numbers moreover don't forget to return this evening,create_note,multi_intent,"['create_note', 'create_reminder']","['document phone numbers', ""don't forget to return this evening""]"
remind me about fetch next Tuesday moreover add to my notes contact information,create_reminder,multi_intent,"['create_reminder', 'create_note']","['remind me about fetch next Tuesday', 'add to my notes contact information']"
can you create a write about contact information and also set important a reminder to start tonight,create_note,multi_intent,"['create_note', 'create_reminder']","['can you create a note about contact information', 'set important a reminder to start tonight']"
don't forget to study on Friday moreover I lent $200 to Chris,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","[""don't forget to study on Friday"", 'I lent $200 to Chris']"
can you I lent $15 to Sam as well as kindly remind important me about review tomorrow,create_ledger,multi_intent,"['create_ledger', 'create_reminder']","['I lent $15 to Sam', 'remind important me about review tomorrow']"
would you client owes me $10 also could you alert me to drink next Tuesday,create_ledger,multi_intent,"['create_ledger', 'create_reminder']","['would you client owes me $10', 'could you alert me to drink next Tuesday']"
please remind me to workout at 1 PM plus keep track of movie suggestions then spent $75 on coffee,create_reminder,multi_intent,"['create_reminder', 'create_note', 'create_ledger']","['remind me to workout at 1 PM', 'keep track of movie suggestions', 'spent $75 on coffee']"
can you reminder for check on Monday and also cost $45 for gas,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","['reminder for check on Monday', 'cost $45 for gas']"
please remind me about pay next Tuesday and teacher will pay me $150,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","['please remind me about pay next Tuesday', 'teacher will pay me $150']"
would you write down phone numbers then spent $15 on utilities,create_note,multi_intent,"['create_note', 'create_ledger']","['write down phone numbers', 'spent $15 on utilities']"
alert me to finish on Friday besides paid $200 to Sam,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","['alert me to finish on Friday', 'paid $200 to Sam']"
please set a reminder to eat today also can you paid $80 to teacher,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","['set a reminder to eat today', 'can you paid $80 to teacher']"
jot down contact information plus boss borrowed $10 from me,create_note,multi_intent,"['create_note', 'create_ledger']","['jot down contact information', 'boss borrowed $10 from me']"
would you set alarm to pack at 5 PM besides would you cost $80 for lunch,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","['would you set alarm to pack at 5 PM', 'would you cost $80 for lunch']"
would you remind me to sleep at 6 PM moreover document addresses,create_reminder,multi_intent,"['create_reminder', 'create_note']","['would you remind me to sleep at 6 PM', 'document addresses']"
kindly set urgent alarm to finish at 10 AM moreover I owe friend $120,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","['set urgent alarm to finish at 10 AM', 'I owe friend $120']"
could you paid $120 to Mike plus can you remember to book on Friday,create_ledger,multi_intent,"['create_ledger', 'create_reminder']","['paid $120 to Mike', 'can you remember to book on Friday']"
don't forget to drop off next Tuesday and could you I lent $15 to Tom,create_reminder,multi_intent,"['create_reminder', 'create_ledger']","[""don't forget to drop off next Tuesday"", 'could you I lent $15 to Tom']"
